true_values,predicted_values,difference,Action/Adventure,Fantasy/Supernatural,Comedy,Drama/Romance,Science Fiction,Psychological/Thriller,Other/Uncategorized,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
6.24,6.034118733798818,0.20588126620118263,0,0,0,0,0,0,1,False,False,False,True,False,False
6.0,6.056316513988656,0.05631651398865589,0,0,1,0,1,0,0,False,False,False,False,False,True
7.88,8.103306017292505,0.2233060172925052,1,1,0,1,0,0,0,False,False,False,False,False,True
8.93,8.338159878786444,0.591840121213556,0,0,1,1,0,0,0,False,False,False,False,False,True
6.13,5.261063262661034,0.8689367373389656,0,1,1,0,0,0,1,False,False,False,False,True,False
6.03,5.699068095491888,0.3309319045081125,0,0,1,1,0,0,1,False,False,False,True,False,False
4.0,5.756009760012487,1.7560097600124873,0,0,0,0,0,0,1,False,False,False,True,False,False
6.1,5.923052503800422,0.17694749619957761,1,0,0,0,1,0,0,True,False,False,False,False,False
4.65,6.84261570335609,2.19261570335609,0,0,1,0,0,0,1,False,False,False,True,False,False
6.5,6.210963650773036,0.2890363492269641,1,1,1,0,1,0,0,False,False,False,True,False,False
6.83,6.688489733259549,0.1415102667404513,0,0,0,1,0,0,1,False,False,False,True,False,False
7.07,7.31814118266648,0.24814118266647966,0,0,1,0,0,0,0,False,False,False,False,True,False
8.0,6.198647683478119,1.8013523165218812,0,1,0,0,0,0,1,False,False,False,True,False,False
7.14,6.934772707093663,0.20522729290633634,0,0,1,0,1,0,0,False,False,False,False,False,True
7.71,7.449352512748763,0.2606474872512372,0,0,0,1,0,0,0,True,False,False,False,False,False
6.25,5.542058716742551,0.7079412832574494,1,0,0,0,0,0,0,False,False,False,True,False,False
6.91,7.039822311525301,0.12982231152530055,1,1,0,1,1,0,0,False,False,False,True,False,False
7.11,7.1655125661619135,0.055512566161913135,1,1,1,1,0,1,0,False,False,False,True,False,False
7.4,7.39965920880078,0.0003407911992203694,0,0,1,1,0,0,0,True,False,False,False,False,False
7.85,7.859369923122998,0.009369923122998003,1,0,0,1,1,0,0,False,False,False,True,False,False
5.39,5.4456365515739495,0.055636551573949866,0,0,0,0,0,0,1,False,False,False,True,False,False
6.18,5.874258366068685,0.3057416339313148,0,0,1,0,0,0,1,False,False,False,False,True,False
6.93,7.069670858280274,0.13967085828027415,0,0,1,1,0,0,0,False,False,False,False,False,True
7.1,7.2447072000967,0.14470720009670046,0,0,1,1,0,0,0,False,False,False,False,True,False
6.05,5.817807991733975,0.2321920082660247,0,1,0,0,0,0,1,False,False,False,True,False,False
5.72,5.737142397090851,0.017142397090851524,0,0,1,0,0,0,1,False,False,False,True,False,False
5.87,5.7706879000443285,0.09931209995567158,0,0,0,0,1,1,0,False,False,False,False,True,False
6.77,6.507397876320998,0.2626021236790015,0,0,0,0,0,0,0,False,False,False,False,False,True
7.21,6.780962456029647,0.4290375439703533,0,0,0,1,0,0,0,False,False,False,False,True,False
5.95,6.6101903422633495,0.6601903422633493,0,0,1,0,0,0,0,False,False,False,False,True,False
8.03,7.641474718481708,0.3885252815182918,0,0,1,1,0,0,0,False,False,False,True,False,False
6.56,7.269479054653893,0.7094790546538938,1,1,1,0,0,1,1,False,False,False,False,True,False
7.87,7.815124915275787,0.05487508472421343,1,0,0,1,0,1,0,True,False,False,False,False,False
5.67,6.136906371213855,0.46690637121385503,1,0,0,1,0,0,0,False,False,False,False,True,False
9.25,6.644931057971895,2.6050689420281046,0,0,0,1,0,0,1,False,False,False,True,False,False
6.15,6.57940447317638,0.42940447317637975,0,0,0,0,0,0,1,False,False,False,False,False,True
4.92,5.431120362669937,0.5111203626699368,0,0,0,0,0,0,1,True,False,False,False,False,False
6.39,6.2278715529970405,0.16212844700295914,0,0,1,0,1,0,0,False,False,False,True,False,False
7.24,7.195035510405227,0.04496448959477295,1,1,0,0,0,0,0,True,False,False,False,False,False
7.09,6.589814617875878,0.5001853821241218,1,0,1,0,0,1,0,False,False,False,False,False,True
4.95,6.5630940145532035,1.6130940145532033,1,1,0,0,0,1,0,True,False,False,False,False,False
7.47,7.872160165623287,0.40216016562328694,0,0,0,1,0,0,0,True,False,False,False,False,False
6.78,6.952343502346027,0.1723435023460267,0,0,0,1,0,0,0,False,True,False,False,False,False
5.95,6.742174596572637,0.7921745965726368,1,1,0,0,0,0,0,False,False,False,False,False,True
6.5,6.489654612289138,0.010345387710861687,0,0,0,0,0,0,1,False,False,False,True,False,False
5.94,5.727522864927034,0.21247713507296595,0,0,0,0,0,0,1,False,False,False,True,False,False
5.21,6.197545987790764,0.9875459877907637,0,0,0,0,0,0,0,False,True,False,False,False,False
6.71,6.680463568994365,0.029536431005634967,0,0,0,0,0,0,1,False,False,False,True,False,False
4.67,4.652167724847842,0.01783227515215824,0,0,0,0,0,0,0,False,True,False,False,False,False
6.59,5.871968946583709,0.7180310534162908,1,0,0,0,0,0,1,True,False,False,False,False,False
7.07,6.783139228205,0.28686077179500025,0,1,1,0,0,0,0,False,False,False,False,False,True
6.54,6.708334652487001,0.16833465248700108,0,1,0,1,0,0,0,False,False,False,False,False,True
7.42,7.254470494060586,0.16552950593941418,0,0,1,0,0,0,0,False,False,False,False,True,False
6.4,6.0786987177067955,0.32130128229320487,1,1,0,0,0,0,0,False,False,False,True,False,False
6.48,6.661114026682368,0.18111402668236742,0,0,0,0,1,0,0,False,False,False,False,True,False
7.51,6.827488768805749,0.6825112311942512,0,0,1,0,0,1,0,False,False,False,True,False,False
6.78,5.621126753293421,1.1588732467065794,1,0,1,0,0,0,0,False,False,False,False,True,False
8.2,5.923987779297158,2.2760122207028415,0,0,1,0,0,0,0,True,False,False,False,False,False
6.22,6.459080524363261,0.23908052436326166,0,1,1,1,0,0,1,True,False,False,False,False,False
6.96,6.54728057033991,0.4127194296600898,0,0,0,0,0,0,1,False,False,False,False,True,False
5.5,5.743075038925416,0.24307503892541593,0,1,0,0,0,0,0,False,False,True,False,False,False
7.66,7.318822140182922,0.34117785981707804,0,0,1,0,1,0,0,True,False,False,False,False,False
6.38,7.177603295410182,0.7976032954101822,0,0,0,0,0,0,0,False,False,False,True,False,False
5.89,5.656484100521345,0.2335158994786548,0,1,1,0,0,0,1,True,False,False,False,False,False
7.04,7.254107380807751,0.21410738080775094,0,0,0,1,0,0,0,False,False,False,False,False,True
7.7,8.09273720218556,0.3927372021855602,0,0,1,1,1,0,0,False,False,False,False,False,True
4.85,5.383672611599097,0.5336726115990977,0,0,0,0,0,0,0,False,True,False,False,False,False
7.92,8.025594179210133,0.10559417921013292,1,1,0,0,0,0,0,False,False,False,False,False,True
7.46,7.50443738332886,0.0444373833288596,0,0,1,1,0,0,0,False,False,False,False,False,True
6.8,6.2508213056553155,0.5491786943446844,0,0,1,0,0,0,1,True,False,False,False,False,False
5.39,5.668726964113884,0.27872696411388453,0,0,0,0,0,0,1,True,False,False,False,False,False
7.2,7.3314440883309135,0.13144408833091337,1,1,0,0,0,0,0,False,False,False,False,False,True
6.99,6.939393032374441,0.050606967625559385,0,0,0,1,0,0,1,False,False,False,True,False,False
7.69,7.626517383160528,0.06348261683947243,0,1,1,0,0,0,0,False,False,False,False,True,False
6.74,6.655724777933022,0.08427522206697802,1,0,0,1,1,0,0,False,True,False,False,False,False
6.49,6.799898396933447,0.30989839693344656,0,0,1,0,0,0,0,False,False,False,False,True,False
5.29,6.332969884654401,1.0429698846544007,0,1,1,0,0,0,0,False,False,False,False,False,True
7.09,6.693086700516417,0.39691329948358245,0,0,0,0,0,0,1,False,False,False,True,False,False
7.61,7.264153352639391,0.34584664736060944,1,1,0,1,0,0,0,True,False,False,False,False,False
8.17,8.185155812752615,0.01515581275261546,0,1,0,0,0,1,0,False,False,False,False,False,True
7.05,6.656725584252231,0.39327441574776856,0,0,1,1,0,0,0,False,False,False,True,False,False
6.0,6.717142834942877,0.7171428349428766,0,0,0,1,0,0,1,False,False,False,True,False,False
7.53,7.356238836559212,0.17376116344078785,0,0,1,1,0,0,1,False,False,False,False,False,True
7.1,7.115577495895453,0.015577495895453097,1,0,1,1,1,0,0,False,False,False,False,False,True
5.45,5.940106682548507,0.49010668254850653,1,0,0,0,0,0,1,False,False,False,True,False,False
6.8,6.2810510832061,0.5189489167938994,1,1,0,0,1,0,0,False,False,False,False,False,True
5.74,5.860524304328032,0.12052430432803174,0,0,1,0,0,1,0,False,False,False,True,False,False
6.01,5.7625867621877,0.2474132378122995,0,0,1,0,1,0,0,False,False,True,False,False,False
6.16,6.470021001417755,0.3100210014177547,1,0,1,1,0,0,0,False,False,False,False,True,False
7.16,6.703483158637202,0.4565168413627978,1,0,0,0,1,0,0,False,False,False,False,False,True
6.98,6.829665202593752,0.15033479740624855,0,0,0,0,0,0,1,False,False,False,True,False,False
6.34,6.569516210867422,0.22951621086742247,0,0,1,0,0,0,0,False,False,True,False,False,False
6.48,6.66401832036113,0.18401832036112964,0,1,1,0,1,0,1,True,False,False,False,False,False
8.17,7.575801060909766,0.5941989390902336,1,1,0,0,0,0,0,False,False,False,True,False,False
7.62,7.57558697059369,0.04441302940630987,1,1,1,1,0,0,1,False,False,False,False,False,True
5.98,6.220021394002383,0.24002139400238232,1,1,1,0,0,0,0,False,False,False,True,False,False
6.34,6.3539302506749475,0.013930250674947686,0,0,1,0,0,0,1,False,False,False,False,True,False
6.5,5.9082646077049485,0.5917353922950515,1,0,0,0,0,0,0,True,False,False,False,False,False
5.75,6.380255355973452,0.6302553559734516,1,1,1,1,0,0,0,False,False,False,False,True,False
5.33,5.850273754552779,0.5202737545527789,0,0,1,0,0,0,0,False,False,False,False,False,True
7.76,7.440162381943014,0.31983761805698574,1,1,1,0,0,0,0,True,False,False,False,False,False
7.42,7.480384803901355,0.060384803901355255,0,0,1,0,0,0,0,False,False,False,False,True,False
7.5,7.3925910190741995,0.10740898092580053,1,0,1,0,0,0,0,True,False,False,False,False,False
5.51,5.371597611169578,0.13840238883042222,0,0,0,0,0,0,1,False,False,False,True,False,False
7.36,7.162709838743433,0.19729016125656695,0,0,1,0,0,0,0,False,False,False,False,True,False
6.25,7.137497325465555,0.8874973254655547,1,1,0,0,0,0,0,False,False,False,False,False,True
8.34,8.09420206597173,0.24579793402826944,1,1,0,1,0,0,0,True,False,False,False,False,False
6.54,6.031758578002639,0.5082414219973614,0,0,0,0,0,0,1,False,False,False,True,False,False
6.37,6.102039938940463,0.2679600610595374,0,0,0,0,0,0,0,False,False,False,True,False,False
6.67,6.787476186657974,0.11747618665797432,1,1,1,0,0,0,1,False,False,False,True,False,False
6.25,6.01910296489882,0.23089703510118031,1,0,0,0,0,0,1,True,False,False,False,False,False
6.87,6.766641698808618,0.10335830119138212,1,0,0,1,1,0,0,False,False,False,False,True,False
4.58,4.740511765066111,0.16051176506611053,0,0,0,0,0,0,1,True,False,False,False,False,False
6.16,6.502668112072532,0.34266811207253145,1,1,0,0,0,0,0,False,False,False,False,False,True
6.46,6.8636623967582775,0.40366239675827753,1,0,0,0,1,0,0,False,False,False,False,False,True
7.06,7.554371084515333,0.4943710845153335,1,1,0,0,0,0,0,False,False,False,False,False,True
3.85,4.22588328732685,0.37588328732684984,0,0,0,0,1,0,0,False,True,False,False,False,False
5.47,6.186788989839715,0.7167889898397153,1,1,1,0,1,0,0,False,False,False,False,True,False
6.8,6.657138709667347,0.14286129033265293,0,0,1,0,0,0,0,False,False,True,False,False,False
5.68,6.2477270375836005,0.5677270375836008,1,0,1,0,1,0,0,False,False,False,True,False,False
6.75,5.738028000736307,1.011971999263693,0,0,0,0,0,0,0,True,False,False,False,False,False
8.83,8.434024681760704,0.3959753182392962,1,0,0,0,1,0,0,False,False,False,False,False,True
8.08,7.738017876321607,0.34198212367839265,0,1,0,0,0,1,0,False,False,False,False,False,True
8.31,7.306525538298309,1.0034744617016917,0,0,1,1,0,0,0,False,False,False,True,False,False
7.67,7.4969345611174845,0.17306543888251547,0,0,1,0,0,0,0,False,False,False,False,False,True
3.77,4.2234107238442995,0.4534107238442995,0,0,0,0,0,1,0,True,False,False,False,False,False
5.8,5.254191073739673,0.5458089262603272,1,0,0,0,0,0,0,True,False,False,False,False,False
7.4,6.961671585309839,0.4383284146901616,0,1,1,1,0,0,1,False,False,False,False,False,True
5.74,5.430534024223876,0.3094659757761242,0,0,0,0,0,0,1,False,False,False,True,False,False
4.36,3.836812911732376,0.5231870882676244,0,0,0,0,0,0,1,False,False,True,False,False,False
6.43,6.752683237872825,0.32268323787282505,0,1,0,0,0,0,0,False,False,False,False,True,False
7.14,7.4811494889752215,0.3411494889752218,1,1,0,0,0,0,0,False,False,False,True,False,False
5.9,5.924297460259784,0.024297460259783854,0,0,1,0,0,0,0,False,False,False,False,False,True
6.47610799251537,6.210114978319988,0.26599301419538257,1,0,0,0,0,0,0,False,False,False,False,False,True
7.33,7.369193511520292,0.039193511520291935,1,0,0,0,1,0,0,False,False,False,False,True,False
6.47610799251537,6.906966547585839,0.43085855507046844,1,1,1,0,0,0,0,True,False,False,False,False,False
6.52,6.0891547490224225,0.4308452509775771,1,0,0,0,1,0,0,False,True,False,False,False,False
8.03,7.729554736313439,0.30044526368656044,1,0,0,1,1,0,0,False,False,False,False,False,True
6.67,6.99163190371578,0.32163190371578043,0,1,0,1,0,0,1,False,False,False,True,False,False
7.23,7.231712829981102,0.0017128299811020042,1,0,0,0,1,0,0,False,False,True,False,False,False
5.9,6.720249375369761,0.8202493753697606,0,0,0,0,0,0,1,False,False,False,False,True,False
6.02,6.105001979334211,0.08500197933421116,1,1,0,0,1,0,0,True,False,False,False,False,False
7.22,7.182207814269338,0.037792185730661565,1,0,0,1,0,0,0,False,False,False,False,False,True
7.17,6.536376197892782,0.633623802107218,0,0,1,0,0,1,0,False,False,False,False,False,True
6.89,6.722896289284124,0.1671037107158755,0,0,0,0,0,0,1,False,False,False,True,False,False
6.02,6.594043061550278,0.5740430615502783,1,1,1,0,1,0,0,True,False,False,False,False,False
5.62,5.6805887208952,0.06058872089519962,1,0,0,0,0,0,0,False,False,False,True,False,False
6.57,6.084998860870643,0.4850011391293574,0,1,0,1,0,0,0,False,False,False,True,False,False
6.33,6.778265495994065,0.4482654959940646,0,0,0,1,0,0,1,False,False,False,False,False,True
6.17,6.209801867152712,0.039801867152712056,0,0,0,0,0,0,1,False,False,False,True,False,False
5.64,6.151602574499061,0.5116025744990615,0,0,1,0,0,0,1,False,False,False,False,False,True
5.88,5.7552439572568534,0.12475604274314644,0,0,0,0,1,0,0,False,False,True,False,False,False
6.2,6.565963877461092,0.36596387746109205,1,1,1,0,1,0,0,False,False,False,False,False,True
7.4,6.645442915232881,0.7545570847671197,1,0,1,0,0,0,0,True,False,False,False,False,False
6.73,6.475819698759285,0.2541803012407158,1,1,0,0,1,1,0,False,False,False,False,False,True
7.05,7.185540269767031,0.1355402697670316,1,0,0,0,1,0,0,True,False,False,False,False,False
6.0,5.599838027701638,0.4001619722983616,0,0,1,0,0,0,0,False,False,True,False,False,False
7.69,7.547803329196293,0.14219667080370701,0,0,1,1,0,0,0,True,False,False,False,False,False
8.47,8.067488732110075,0.40251126788992586,1,0,0,0,1,0,0,False,False,False,False,False,True
6.75,6.474578652442005,0.2754213475579954,0,0,1,0,0,0,1,False,False,False,False,False,True
6.12,5.851627052111711,0.268372947888289,0,1,1,0,0,0,0,False,False,False,True,False,False
6.84,6.785928906343211,0.05407109365678853,0,0,1,0,0,0,1,False,False,False,False,True,False
7.56,7.39005268691582,0.16994731308417954,0,1,0,1,0,1,0,False,False,False,False,True,False
5.98,5.7323038643583715,0.24769613564162896,0,0,0,0,0,0,0,True,False,False,False,False,False
5.25,5.764054769921121,0.5140547699211213,1,0,0,0,0,0,0,False,False,False,True,False,False
5.91,6.311380782195599,0.4013807821955986,0,1,1,1,0,0,0,False,False,False,False,False,True
5.44,5.527814606086048,0.08781460608604785,0,0,0,0,0,0,1,False,False,False,True,False,False
7.24,7.292792947623761,0.052792947623760966,1,1,0,0,0,0,0,False,False,False,True,False,False
6.94,6.297396369521564,0.6426036304784368,0,0,0,0,0,0,0,True,False,False,False,False,False
6.22,6.596264300809806,0.37626430080980633,1,0,0,0,1,0,0,False,False,False,False,False,True
7.48,7.000735318028684,0.47926468197131644,0,1,1,0,0,0,0,False,False,False,False,True,False
6.94,6.694537107033034,0.245462892966966,0,0,0,0,0,0,1,False,False,False,True,False,False
7.48,7.25752180367708,0.22247819632292032,0,0,0,1,0,0,0,False,False,False,False,False,True
5.21,6.037060176786153,0.8270601767861532,0,0,0,1,0,0,0,False,False,False,True,False,False
7.25,7.682998706043227,0.432998706043227,1,0,1,1,0,0,0,False,False,False,False,False,True
6.8,6.5906917628484525,0.20930823715154734,1,0,0,0,0,0,0,False,False,False,False,False,True
6.61,6.662457009197322,0.05245700919732155,0,0,1,0,0,0,0,False,False,False,False,False,True
5.44,5.431737098526748,0.008262901473252704,0,0,0,1,0,0,1,False,False,False,True,False,False
4.49,5.765748229449216,1.2757482294492162,1,0,0,0,0,0,1,True,False,False,False,False,False
4.92,6.5599378746387025,1.6399378746387026,0,0,0,0,0,0,1,False,False,False,True,False,False
7.51,6.9704579234532185,0.5395420765467813,1,0,0,0,1,0,0,False,False,False,False,False,True
4.67,5.913685644396009,1.2436856443960087,1,1,0,0,0,0,0,False,False,False,False,False,True
5.84,5.672129425872881,0.16787057412711892,0,1,0,0,1,0,0,False,False,False,True,False,False
7.11,5.884713942131004,1.2252860578689964,0,0,1,0,1,0,0,False,False,False,False,True,False
5.25,6.067440016009503,0.8174400160095026,1,0,1,0,0,0,0,False,False,False,True,False,False
7.77,7.969871198445009,0.19987119844500967,0,0,1,1,0,0,0,False,False,False,False,False,True
8.13,8.119164778508377,0.010835221491623415,1,0,1,0,0,1,0,True,False,False,False,False,False
6.04,6.061036022194765,0.021036022194764747,1,0,1,0,1,0,0,False,False,False,True,False,False
7.01,6.661370525635297,0.34862947436470293,0,0,0,1,1,0,0,False,False,False,True,False,False
7.15,6.670430373405417,0.479569626594583,1,0,1,0,1,0,0,False,False,False,False,True,False
3.91,6.222522065077924,2.312522065077924,0,1,0,0,0,0,0,False,False,False,False,False,True
6.49,5.915824974471025,0.5741750255289748,0,1,0,0,0,0,1,False,False,False,True,False,False
6.81,6.709585213992249,0.10041478600775022,0,0,1,0,0,0,0,False,False,False,False,True,False
7.22,7.787715746681348,0.5677157466813485,0,0,0,1,0,1,0,False,False,False,False,False,True
7.61,7.107459815586193,0.5025401844138075,0,0,1,0,1,0,0,False,False,False,True,False,False
5.61,6.186280314315642,0.5762803143156416,0,0,0,0,0,0,1,False,False,False,True,False,False
6.24,5.59243478537363,0.6475652146263702,0,1,1,0,0,0,1,True,False,False,False,False,False
6.32,6.53822081988145,0.21822081988144948,0,0,1,0,0,0,0,False,False,True,False,False,False
6.33,6.698270625590591,0.36827062559059076,0,0,1,0,0,0,1,False,False,False,False,False,True
5.85,5.550248857384061,0.29975114261593827,1,0,0,0,0,0,0,True,False,False,False,False,False
4.39,5.7449064839094115,1.3549064839094118,1,0,0,0,0,0,0,True,False,False,False,False,False
7.52,6.99414236130616,0.5258576386938394,1,0,1,0,0,0,0,False,False,False,False,False,True
7.32,7.026383353322685,0.29361664667731535,0,0,1,1,0,0,0,False,False,False,True,False,False
6.91,6.39620116176906,0.5137988382309402,0,1,0,0,0,0,0,False,False,True,False,False,False
6.71,6.620309618068419,0.08969038193158063,0,0,1,0,0,0,0,False,False,False,False,True,False
5.82,6.2029149969765704,0.38291499697657017,0,1,0,0,0,0,0,False,False,False,False,True,False
6.06,5.600370297664068,0.45962970233593126,0,0,0,0,0,0,0,False,False,True,False,False,False
6.77,6.965098195059072,0.19509819505907267,1,0,1,1,1,1,0,False,False,False,False,False,True
7.9,7.208945841079653,0.6910541589203474,1,0,1,1,0,0,1,False,False,False,False,False,True
6.76,7.044887580801218,0.2848875808012181,1,0,0,0,1,0,0,False,False,False,False,False,True
6.14,6.1137717458824525,0.026228254117547145,1,0,1,1,0,0,0,False,False,False,False,True,False
5.29,6.040784139213135,0.7507841392131347,0,0,0,1,0,0,0,False,False,False,True,False,False
7.2,7.458584464023707,0.2585844640237065,1,1,1,0,0,0,1,False,False,False,False,False,True
5.92,5.856675564339876,0.06332443566012369,0,0,0,1,1,0,0,False,False,False,True,False,False
6.43,6.142822785660121,0.287177214339879,1,0,0,0,1,0,0,False,False,False,True,False,False
4.88,5.805754505410731,0.9257545054107315,0,0,1,0,0,0,0,False,False,False,True,False,False
5.8,6.91659427360578,1.11659427360578,0,0,0,1,0,0,1,False,False,False,True,False,False
6.89,6.557362927609147,0.3326370723908525,1,0,1,0,1,0,0,False,False,False,False,False,True
6.95,7.047022320748665,0.0970223207486649,0,0,0,0,0,1,0,False,False,False,False,False,True
4.0,5.049998466189432,1.0499984661894324,1,0,0,0,0,0,0,True,False,False,False,False,False
7.04,7.1313994725432055,0.09139947254320546,1,1,0,0,1,0,0,True,False,False,False,False,False
3.11,5.556345324310166,2.446345324310166,0,0,1,0,0,0,0,False,False,False,False,True,False
7.97,8.17822890187855,0.2082289018785497,1,1,0,0,0,0,0,False,False,False,False,False,True
6.58,6.9061311145467865,0.32613111454678645,1,1,1,1,0,0,0,True,False,False,False,False,False
5.8,6.458668511598821,0.6586685115988216,0,0,0,1,0,0,1,False,False,False,True,False,False
7.09,7.51672391528307,0.42672391528306974,0,0,0,1,1,1,0,False,False,False,False,False,True
5.68,6.469262813128747,0.7892628131287474,0,1,0,0,0,0,0,True,False,False,False,False,False
6.35,6.577134973600663,0.2271349736006636,0,0,1,0,0,0,0,False,False,False,False,False,True
7.43,6.874880228851902,0.5551197711480977,1,1,0,0,1,0,1,False,False,False,False,False,True
6.2,6.074587227562666,0.1254127724373344,0,1,0,0,0,0,0,False,False,False,True,False,False
6.31,5.674937680179235,0.635062319820765,0,0,1,0,0,0,1,False,False,False,True,False,False
6.46,6.534563280154169,0.07456328015416869,0,0,1,0,0,0,1,False,False,False,False,False,True
6.17,5.750331112462929,0.4196688875370711,0,0,1,0,0,0,1,False,False,False,True,False,False
6.58,6.4425439953839,0.13745600461609975,1,0,0,0,0,0,0,False,False,False,False,False,True
5.86,6.250751694366597,0.39075169436659696,0,0,0,1,0,1,0,True,False,False,False,False,False
6.54,6.570629904715972,0.030629904715971712,1,0,0,0,0,0,0,False,False,False,False,False,True
6.93,6.6857931646691,0.2442068353308997,0,0,0,0,0,0,1,False,False,False,True,False,False
5.48,5.322466041527806,0.15753395847219487,0,0,0,0,0,0,1,False,False,False,True,False,False
8.23,7.879785158565008,0.35021484143499215,0,0,0,1,0,0,0,False,False,False,False,False,True
6.65,5.875731620227173,0.7742683797728276,1,0,0,0,1,0,0,True,False,False,False,False,False
6.13,6.771967791366392,0.6419677913663921,0,1,1,0,0,0,0,True,False,False,False,False,False
7.08,6.722509960100145,0.3574900398998553,0,0,0,0,0,0,1,False,False,False,True,False,False
7.29,7.01438807688575,0.2756119231142504,0,0,1,1,0,0,0,True,False,False,False,False,False
6.06,6.864826182349013,0.8048261823490135,0,0,1,1,0,0,0,False,False,False,False,False,True
3.59,4.82994593196022,1.2399459319602197,0,0,0,0,0,1,0,True,False,False,False,False,False
7.01,6.787625931721651,0.2223740682783486,1,0,0,0,0,0,0,False,False,False,True,False,False
7.5,6.932929421789138,0.5670705782108616,1,0,0,1,1,0,0,False,False,False,False,True,False
7.38,7.055332020333049,0.32466797966695093,1,0,0,1,1,0,0,False,False,False,False,False,True
6.0,6.280887327398122,0.28088732739812183,0,0,0,1,0,0,0,True,False,False,False,False,False
5.29,5.920980499303426,0.6309804993034263,1,1,0,0,1,0,1,False,False,False,True,False,False
7.1,6.682290002028667,0.41770999797133257,1,0,1,0,0,0,0,False,False,False,False,False,True
7.28,7.761785410371889,0.4817854103718888,0,0,1,1,1,1,0,False,False,False,False,False,True
4.11,4.36084399587045,0.2508439958704498,0,0,0,0,0,0,1,False,True,False,False,False,False
