true_values,predicted_values,difference,Action/Adventure,Fantasy/Supernatural,Comedy,Drama/Romance,Science Fiction,Psychological/Thriller,Other/Uncategorized,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV
4.6,5.853559793481399,1.2535597934813998,1,0,0,0,0,0,0,True,False,False,False,False,False
3.5,4.558800875556192,1.0588008755561917,0,0,0,0,0,1,0,True,False,False,False,False,False
4.74,5.889176610545272,1.1491766105452719,1,0,0,0,0,0,1,True,False,False,False,False,False
8.33,6.812179596448343,1.5178204035516574,0,0,0,1,0,0,1,False,False,False,True,False,False
4.17,5.188952655392577,1.0189526553925772,0,0,1,0,0,0,0,False,False,True,False,False,False
6.28,7.311120598619469,1.0311205986194691,1,1,1,0,0,0,0,True,False,False,False,False,False
4.35,5.707831674180402,1.3578316741804022,1,0,0,0,0,0,0,True,False,False,False,False,False
3.7,4.89031390483004,1.19031390483004,0,0,0,0,0,0,0,False,True,False,False,False,False
6.3,4.670089297846179,1.629910702153821,0,0,0,0,0,0,1,False,False,False,False,True,False
4.0,6.071777703268853,2.071777703268853,0,0,1,0,0,0,0,False,False,False,False,True,False
7.23,6.109419545545578,1.120580454454422,1,1,0,0,0,0,0,True,False,False,False,False,False
4.8,6.200397962117134,1.4003979621171343,0,0,0,0,0,0,1,False,False,False,False,False,True
6.61,5.546281180789725,1.0637188192102753,0,0,0,0,0,0,1,False,False,False,True,False,False
8.0,5.654924287142351,2.345075712857649,0,0,1,0,0,0,0,False,False,False,True,False,False
7.5,6.327755820411572,1.1722441795884277,0,0,1,0,0,0,1,False,False,False,True,False,False
3.53,5.0311516795338225,1.5011516795338227,0,1,0,0,0,0,0,False,False,False,False,True,False
5.5,4.223201706648579,1.2767982933514208,0,0,0,0,0,1,0,True,False,False,False,False,False
6.04,4.601733331501086,1.4382666684989136,0,0,1,0,0,0,0,False,False,False,False,True,False
7.25,6.088766424338846,1.1612335756611536,0,0,1,0,0,0,0,False,False,False,False,True,False
6.71,5.509908184232944,1.2000918157670561,1,1,0,0,0,0,1,False,False,False,False,False,True
5.61,6.8965744525498796,1.2865744525498792,1,1,1,0,1,0,0,False,False,False,False,False,True
5.0,6.108572109300745,1.108572109300745,0,0,0,0,0,0,1,False,False,False,True,False,False
5.81,6.833318492425768,1.0233184924257683,1,1,0,0,1,0,0,False,False,False,False,False,True
4.22,7.533443234022593,3.3134432340225937,0,0,0,1,0,0,0,True,False,False,False,False,False
4.24,5.5267525626035,1.2867525626034997,1,0,0,0,0,0,0,False,False,False,True,False,False
4.78,6.216878987030464,1.4368789870304637,0,0,1,0,0,0,0,False,False,False,False,False,True
3.25,5.758665280008777,2.5086652800087768,0,0,0,0,1,0,1,False,False,False,True,False,False
8.64,7.597631823823181,1.0423681761768195,0,1,1,1,0,0,0,False,False,False,True,False,False
3.82,5.03028658958343,1.2102865895834305,1,0,1,0,1,0,0,False,False,True,False,False,False
5.45,4.1610518100914575,1.2889481899085427,0,0,0,0,0,1,0,True,False,False,False,False,False
7.5,6.291447469072244,1.208552530927756,0,0,1,1,0,0,0,True,False,False,False,False,False
3.4,5.859675793500104,2.459675793500104,0,0,1,0,0,0,0,False,False,False,False,False,True
4.54,6.217852132771643,1.6778521327716431,0,0,1,0,0,0,1,False,False,False,False,False,True
6.14,4.694198342727837,1.4458016572721624,0,0,0,0,0,0,0,False,True,False,False,False,False
4.67,6.905202052796321,2.2352020527963212,0,1,0,1,0,0,1,False,False,False,True,False,False
3.84,5.380271025891193,1.540271025891193,0,0,0,0,0,0,0,False,False,True,False,False,False
8.33,5.5890814788556575,2.7409185211443425,0,1,1,0,0,0,1,False,False,False,True,False,False
8.4,5.835893843387324,2.5641061566126764,0,0,1,0,0,0,0,True,False,False,False,False,False
8.43,6.752599779227758,1.6774002207722418,1,1,0,0,0,0,0,False,False,False,False,False,True
7.04,5.8929403574942105,1.1470596425057895,0,1,0,0,0,0,1,False,False,False,True,False,False
7.33,6.066474245967009,1.2635257540329912,0,0,0,1,0,0,1,False,False,False,True,False,False
9.37,8.041365388822618,1.3286346111773817,0,1,0,1,0,0,0,True,False,False,False,False,False
8.33,6.783890251743102,1.5461097482568977,0,0,0,1,0,0,1,False,False,False,True,False,False
8.6,6.556305434929984,2.043694565070016,1,1,1,0,0,0,0,False,False,False,False,True,False
7.72,6.552962223554453,1.1670377764455466,0,0,0,1,1,0,0,False,False,False,True,False,False
4.27,5.392545407989343,1.1225454079893433,0,0,0,0,1,0,0,False,False,False,False,True,False
9.33,6.268954004569902,3.0610459954300984,0,0,0,0,0,0,0,True,False,False,False,False,False
4.44,5.693289123075365,1.2532891230753647,0,0,0,1,0,1,0,False,True,False,False,False,False
7.12,5.911867130961187,1.2081328690388133,0,0,0,1,0,0,0,False,False,False,True,False,False
3.49,6.024821408639177,2.5348214086391767,0,0,0,1,0,0,1,False,False,False,True,False,False
5.81,4.761746287981323,1.0482537120186768,0,0,1,0,0,0,0,True,False,False,False,False,False
7.5,5.6360754319124915,1.8639245680875085,0,0,1,0,0,0,0,False,False,False,False,True,False
6.96,5.954540408079053,1.005459591920947,0,0,1,0,0,0,0,False,False,False,False,True,False
8.27,6.622462098675282,1.6475379013247178,1,0,0,0,0,0,0,False,False,False,True,False,False
4.41,5.732822134893328,1.322822134893328,0,0,1,0,0,0,0,True,False,False,False,False,False
7.5,5.50649468520756,1.99350531479244,0,0,1,0,0,0,0,True,False,False,False,False,False
5.77,6.918753695624288,1.148753695624288,1,0,1,1,0,0,0,False,False,False,False,True,False
3.82,6.979586369456906,3.1595863694569064,0,1,0,0,0,1,0,False,False,False,False,False,True
6.79,5.758637971943936,1.0313620280560638,0,0,1,0,0,0,0,False,False,False,False,False,True
3.78,5.8151921386135035,2.0351921386135037,0,0,1,0,0,0,1,False,False,False,False,False,True
5.28,4.252881673079194,1.0271183269208066,0,0,0,0,0,1,0,True,False,False,False,False,False
3.57,4.74713500502556,1.1771350050255598,0,0,1,0,0,0,0,False,False,True,False,False,False
7.5,5.90049266723548,1.59950733276452,0,0,1,0,0,0,1,False,False,False,False,False,True
7.05,5.951620930730572,1.098379069269428,0,0,1,0,0,0,0,False,False,False,False,False,True
7.5,6.482972933537764,1.0170270664622363,0,1,1,0,0,0,0,False,False,False,False,False,True
7.5,5.997393809958188,1.5026061900418117,0,0,0,1,0,0,0,False,False,False,False,True,False
8.0,6.773067563791875,1.2269324362081253,1,1,0,0,0,0,0,False,False,True,False,False,False
4.5,5.820736596205971,1.320736596205971,0,0,1,0,0,0,0,False,False,False,False,False,True
7.46,6.402636957025058,1.0573630429749423,1,1,0,1,0,0,0,False,False,False,True,False,False
4.92,5.971365021723895,1.0513650217238952,0,0,0,1,0,0,0,True,False,False,False,False,False
9.17,7.950357708228145,1.219642291771855,0,0,0,0,1,1,0,False,False,False,False,False,True
7.07,5.7460785178259,1.3239214821741,1,1,0,0,0,0,0,False,False,True,False,False,False
8.2,6.807726778297212,1.3922732217027871,0,1,1,0,1,0,0,False,False,False,False,True,False
5.06,6.194457110448238,1.1344571104482384,0,0,0,0,0,0,0,False,True,False,False,False,False
6.45,5.126300752544705,1.3236992474552949,1,0,0,0,0,1,0,True,False,False,False,False,False
4.31,6.1008545709683695,1.7908545709683699,0,1,0,0,0,0,1,False,False,False,True,False,False
3.75,5.679806107682881,1.9298061076828814,0,0,0,0,1,0,0,True,False,False,False,False,False
5.0,6.144107421495578,1.144107421495578,1,1,1,0,0,0,1,False,False,False,False,False,True
7.14,5.762002151046946,1.3779978489530533,1,0,1,0,0,0,0,False,False,False,True,False,False
5.3,6.310773859228793,1.0107738592287934,1,1,1,0,0,0,1,False,False,False,False,False,True
7.55,6.5407655800525495,1.0092344199474503,0,0,1,0,0,0,0,False,False,False,False,True,False
5.14,6.613503601402656,1.4735036014026566,1,0,0,0,0,0,0,False,False,False,True,False,False
8.0,6.014268484208441,1.9857315157915592,0,0,0,1,0,0,0,True,False,False,False,False,False
7.7,6.562238920244515,1.1377610797554851,0,0,0,1,1,0,0,False,False,False,True,False,False
4.38,5.44496757859925,1.0649675785992505,0,1,0,0,0,0,1,False,False,True,False,False,False
8.0,6.063886161858992,1.936113838141008,0,0,0,1,0,0,0,True,False,False,False,False,False
4.33,5.733344352458867,1.4033443524588671,1,0,0,0,1,0,0,True,False,False,False,False,False
3.2,4.5605262668238,1.3605262668237996,0,0,1,0,0,0,0,True,False,False,False,False,False
7.2,5.930135726781323,1.2698642732186771,1,1,0,0,0,0,1,True,False,False,False,False,False
6.22,4.871819889370369,1.348180110629631,0,1,0,1,0,0,0,True,False,False,False,False,False
7.19,5.606760077156426,1.5832399228435747,0,1,0,1,1,0,0,False,False,False,True,False,False
5.1,6.155512677308998,1.0555126773089984,1,0,1,1,1,0,0,False,False,False,True,False,False
6.57,5.55017178091546,1.0198282190845402,0,1,0,0,0,0,0,True,False,False,False,False,False
8.76,7.191111651574484,1.5688883484255154,0,1,1,1,0,0,0,False,False,False,False,False,True
6.45,5.448748481196331,1.0012515188036692,1,1,1,0,0,0,0,False,False,False,True,False,False
3.74,5.526395212093923,1.7863952120939226,0,1,1,0,0,1,0,False,False,True,False,False,False
7.8,6.08649918367627,1.7135008163237302,0,0,0,1,0,0,0,True,False,False,False,False,False
7.59,5.952203171332492,1.6377968286675078,0,0,0,0,0,1,0,True,False,False,False,False,False
3.65,4.661722401517907,1.0117224015179072,0,0,0,0,0,0,0,False,True,False,False,False,False
3.43,5.058684929657064,1.6286849296570636,0,0,0,0,0,0,1,False,True,False,False,False,False
4.79,6.075869973749841,1.2858699737498407,0,0,0,1,0,0,1,False,False,False,True,False,False
8.0,5.533162166372237,2.466837833627763,1,1,1,0,0,0,1,True,False,False,False,False,False
5.67,6.927574285780275,1.257574285780275,0,0,0,0,0,0,1,True,False,False,False,False,False
6.72,7.960315966792866,1.240315966792866,1,1,1,0,1,0,0,False,False,False,False,False,True
4.4,5.52086457093182,1.1208645709318192,1,1,0,0,0,0,0,True,False,False,False,False,False
6.0,4.948293978831748,1.0517060211682523,0,0,0,0,0,0,1,False,True,False,False,False,False
4.6,6.202736783880386,1.6027367838803865,0,0,1,0,0,0,0,False,False,False,False,False,True
6.93,5.889362110871593,1.0406378891284067,0,1,0,0,0,0,1,False,False,False,False,False,True
5.25,6.8228153373862925,1.5728153373862925,0,0,0,1,0,0,1,False,False,False,True,False,False
6.9,5.434976572309443,1.4650234276905572,0,0,1,0,0,0,0,False,False,False,False,False,True
3.59,4.624609722560664,1.0346097225606643,0,0,1,0,0,0,0,False,False,True,False,False,False
4.36,5.440115460299001,1.0801154602990009,0,0,1,0,0,0,0,True,False,False,False,False,False
7.67,6.322067809786485,1.3479321902135153,0,1,0,0,0,0,1,False,False,False,False,False,True
7.54,6.448075007217766,1.0919249927822339,0,0,0,0,0,0,1,False,False,False,True,False,False
5.0,6.002285971288813,1.0022859712888126,0,0,1,0,0,0,1,False,False,False,False,False,True
3.27,4.772165207459249,1.502165207459249,0,0,0,0,1,0,0,False,False,True,False,False,False
5.29,6.344244535474153,1.0542445354741528,0,0,1,0,0,0,0,False,False,False,False,False,True
4.04,5.4509221604818165,1.4109221604818165,1,1,0,0,0,0,0,False,False,False,True,False,False
4.24,6.04770726589705,1.8077072658970499,0,0,0,1,0,0,0,True,False,False,False,False,False
3.41,5.031533624326943,1.6215336243269425,0,0,0,0,0,1,0,True,False,False,False,False,False
7.0,5.427438852615342,1.5725611473846577,0,0,1,0,0,0,0,False,False,False,False,False,True
4.5,6.8937814099709405,2.3937814099709405,0,0,0,1,0,0,1,False,False,False,True,False,False
4.5,5.862329074334493,1.3623290743344931,0,0,1,0,0,0,0,True,False,False,False,False,False
6.86,5.5421608060737775,1.3178391939262228,0,0,1,0,0,0,1,True,False,False,False,False,False
7.17,5.77664481883264,1.39335518116736,0,0,1,0,0,0,0,True,False,False,False,False,False
5.11,6.291665697086955,1.181665697086955,1,1,1,0,1,0,1,False,False,False,False,False,True
6.11,7.2738999673858356,1.1638999673858352,1,1,1,0,0,1,0,False,False,False,False,False,True
3.82,5.955214375060767,2.1352143750607673,0,0,0,0,0,0,1,False,False,False,True,False,False
6.71,5.0784125800965745,1.6315874199034255,0,0,1,0,0,0,0,True,False,False,False,False,False
4.2,5.765401197139005,1.5654011971390052,1,0,1,0,0,0,1,False,False,False,False,False,True
7.6,6.579840704479987,1.0201592955200125,0,0,0,1,0,0,0,False,False,False,True,False,False
8.19,6.8280363853869215,1.361963614613078,0,0,1,0,0,0,0,False,False,False,True,False,False
4.15,5.510767502053049,1.360767502053049,1,0,0,0,0,0,0,True,False,False,False,False,False
8.33,6.903433599900571,1.4265664000994294,0,1,0,1,0,0,1,False,False,False,True,False,False
4.17,5.681627437832357,1.5116274378323569,0,0,1,0,0,0,0,True,False,False,False,False,False
4.88,6.7968364643601715,1.9168364643601716,1,1,1,0,1,0,0,True,False,False,False,False,False
4.5,6.086456141505397,1.5864561415053968,0,1,0,0,0,0,1,True,False,False,False,False,False
4.5,7.5190550591338905,3.0190550591338905,0,0,0,1,0,0,0,False,False,False,True,False,False
5.02,6.076189937979003,1.0561899379790036,0,0,1,0,0,0,0,False,False,False,False,False,True
3.65,5.511403300188555,1.8614033001885555,0,0,0,0,0,0,0,False,False,True,False,False,False
7.0,5.9160000349438775,1.0839999650561225,1,1,0,0,0,0,0,False,False,False,False,False,True
3.43,5.354939622413129,1.9249396224131288,0,0,1,0,0,0,0,False,False,True,False,False,False
8.0,6.265807951982313,1.734192048017687,1,0,0,0,0,0,0,False,False,False,False,False,True
8.5,6.944469265151995,1.5555307348480047,0,0,0,1,0,0,1,False,False,False,True,False,False
5.5,6.63900816549816,1.1390081654981596,0,1,1,0,0,0,1,False,False,False,False,True,False
6.7,5.635974678064533,1.0640253219354676,0,0,1,0,0,0,0,False,False,False,False,True,False
5.75,6.754404354417844,1.0044043544178436,0,0,0,1,0,0,1,False,False,False,True,False,False
5.03,6.148314326521193,1.118314326521193,0,0,1,0,0,0,0,True,False,False,False,False,False
8.75,6.082174954823955,2.667825045176045,0,0,1,1,0,0,0,True,False,False,False,False,False
5.57,4.52823264573161,1.0417673542683898,0,0,0,0,1,0,0,False,True,False,False,False,False
5.1,6.174668597975702,1.0746685979757027,0,0,0,0,0,0,1,True,False,False,False,False,False
8.0,5.169445601498496,2.830554398501504,0,0,0,0,0,1,1,False,False,False,True,False,False
5.62,6.638933646882306,1.0189336468823056,0,0,0,0,1,0,0,False,False,False,False,True,False
5.05,6.157167621658791,1.1071676216587916,0,0,1,0,0,0,0,False,False,False,False,False,True
4.49,5.801405401498543,1.3114054014985426,0,1,0,0,0,0,0,False,False,True,False,False,False
7.02,6.013878642696665,1.0061213573033347,0,0,1,0,0,0,0,True,False,False,False,False,False
5.0,6.342381382803083,1.342381382803083,0,0,0,0,0,0,1,True,False,False,False,False,False
3.89,5.170294350043733,1.2802943500437327,1,1,0,0,0,0,0,True,False,False,False,False,False
4.52,6.238992956953673,1.7189929569536737,0,0,0,1,0,0,0,False,False,False,False,True,False
4.88,5.9272654966896905,1.0472654966896906,0,1,0,0,0,0,0,True,False,False,False,False,False
7.9,5.9295961057184785,1.9704038942815219,0,1,0,0,0,0,0,True,False,False,False,False,False
6.75,5.533725544070586,1.2162744559294136,0,1,1,0,0,0,1,True,False,False,False,False,False
4.23,5.653055032255044,1.4230550322550437,0,0,1,0,0,0,0,False,False,False,False,True,False
7.4,6.334491135770092,1.0655088642299084,0,0,1,0,0,0,1,True,False,False,False,False,False
6.83,5.018183805995134,1.8118161940048658,0,0,0,0,1,1,0,True,False,False,False,False,False
3.33,4.381105702392251,1.0511057023922508,0,0,0,0,0,0,1,False,True,False,False,False,False
4.86,6.175940441481035,1.3159404414810343,0,0,1,0,0,0,1,False,False,False,False,False,True
7.3,4.944593660958349,2.355406339041651,0,1,1,0,0,0,0,True,False,False,False,False,False
4.17,5.276474972167833,1.1064749721678329,0,0,1,0,0,0,0,False,False,False,False,True,False
8.67,6.601268731502053,2.068731268497947,0,0,0,1,0,0,1,False,False,False,True,False,False
3.0,5.104304603523068,2.104304603523068,0,0,1,0,0,0,0,False,False,False,False,True,False
